model,subject,n_windows,accuracy,f1,precision,recall
CrossGNN,subject_05,116,0.9310344827586207,0.9626168224299065,0.9279279279279279,1.0
CrossGNN,subject_06,124,0.8467741935483871,0.9162995594713657,0.896551724137931,0.9369369369369369
TimesNet,subject_01,158,0.8354430379746836,0.9103448275862069,0.9103448275862069,0.9103448275862069
TimesNet,subject_02,143,0.8741258741258742,0.9318181818181818,0.917910447761194,0.9461538461538461
TimesNet,subject_03,115,0.9565217391304348,0.975609756097561,0.970873786407767,0.9803921568627451
TimesNet,subject_04,118,0.8898305084745762,0.9389671361502347,0.9259259259259259,0.9523809523809523
TimesNet,subject_05,116,0.853448275862069,0.919431279620853,0.8981481481481481,0.941747572815534
TimesNet,subject_06,124,0.8145161290322581,0.8968609865470852,0.8928571428571429,0.9009009009009009
Mamba2,subject_01,158,0.8924050632911392,0.9431438127090301,0.9155844155844156,0.9724137931034482
Mamba2,subject_02,143,0.916083916083916,0.9558823529411765,0.9154929577464789,1.0
Mamba2,subject_03,115,0.9739130434782609,0.9855072463768116,0.9714285714285714,1.0
Mamba2,subject_04,118,0.9322033898305084,0.963302752293578,0.9292035398230089,1.0
Mamba2,subject_05,116,0.9051724137931034,0.9493087557603687,0.9035087719298246,1.0
Mamba2,subject_06,124,0.8790322580645161,0.9356223175965666,0.8934426229508197,0.9819819819819819
iTransformer,subject_01,158,0.8481012658227848,0.9172413793103448,0.9172413793103448,0.9172413793103448
iTransformer,subject_02,143,0.8811188811188811,0.9363295880149812,0.9124087591240876,0.9615384615384616
iTransformer,subject_03,115,0.9652173913043478,0.9805825242718447,0.9711538461538461,0.9901960784313726
iTransformer,subject_04,118,0.9067796610169492,0.9502262443438914,0.9051724137931034,1.0
iTransformer,subject_05,116,0.9224137931034483,0.958139534883721,0.9196428571428571,1.0
iTransformer,subject_06,124,0.8064516129032258,0.8918918918918919,0.8918918918918919,0.8918918918918919
PatchTST,subject_01,158,0.8607594936708861,0.9246575342465754,0.9183673469387755,0.9310344827586207
PatchTST,subject_02,143,0.8741258741258742,0.9323308270676691,0.9117647058823529,0.9538461538461539
PatchTST,subject_03,115,0.9739130434782609,0.9855072463768116,0.9714285714285714,1.0
PatchTST,subject_04,118,0.9067796610169492,0.9502262443438914,0.9051724137931034,1.0
PatchTST,subject_05,116,0.9137931034482759,0.9537037037037037,0.911504424778761,1.0
PatchTST,subject_06,124,0.8548387096774194,0.9210526315789473,0.8974358974358975,0.9459459459459459
TransformerCNN,subject_01,158,0.8291139240506329,0.9059233449477352,0.9154929577464789,0.896551724137931
TransformerCNN,subject_02,143,0.8811188811188811,0.9363295880149812,0.9124087591240876,0.9615384615384616
TransformerCNN,subject_03,115,0.9739130434782609,0.9855072463768116,0.9714285714285714,1.0
TransformerCNN,subject_04,118,0.923728813559322,0.958904109589041,0.9210526315789473,1.0
TransformerCNN,subject_05,116,0.8879310344827587,0.9400921658986175,0.8947368421052632,0.9902912621359223
TransformerCNN,subject_06,124,0.8306451612903226,0.9066666666666666,0.8947368421052632,0.918918918918919
