R,G,B,label,distance
162,58,33,Orange,0.5cm
163,58,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
162,59,33,Orange,0.5cm
163,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
163,57,33,Orange,0.5cm
167,55,32,Orange,0.5cm
163,58,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,58,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
164,55,35,Orange,0.5cm
164,56,33,Orange,1cm
164,57,33,Orange,1cm
164,57,33,Orange,1cm
164,57,33,Orange,1cm
164,57,33,Orange,1cm
163,57,33,Orange,1cm
163,57,33,Orange,1cm
164,57,33,Orange,1cm
164,57,33,Orange,1cm
164,57,33,Orange,1cm
164,57,33,Orange,1cm
164,57,33,Orange,1cm
164,57,33,Orange,1cm
164,57,33,Orange,1cm
164,57,33,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
163,57,34,Orange,1cm
164,57,33,Orange,1cm
162,57,34,Orange,1cm
164,56,33,Orange,1cm
164,56,34,Orange,1cm
164,57,33,Orange,1cm
163,57,33,Orange,1cm
164,57,33,Orange,1cm
163,57,34,Orange,1cm
164,56,33,Orange,1cm
163,56,34,Orange,1cm
164,57,33,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
164,57,33,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
164,56,34,Orange,1cm
164,56,34,Orange,1cm
163,56,34,Orange,1cm
164,56,34,Orange,1cm
163,56,34,Orange,1cm
164,56,33,Orange,1cm
164,56,33,Orange,1cm
163,56,34,Orange,2cm
163,56,34,Orange,2cm
163,56,34,Orange,2cm
162,57,35,Orange,2cm
160,58,36,Orange,2cm
161,58,35,Orange,2cm
161,57,35,Orange,2cm
162,56,35,Orange,2cm
162,56,35,Orange,2cm
162,56,35,Orange,2cm
162,56,35,Orange,2cm
163,56,35,Orange,2cm
162,56,35,Orange,2cm
162,56,35,Orange,2cm
162,56,35,Orange,2cm
162,56,35,Orange,2cm
162,56,35,Orange,2cm
163,56,35,Orange,2cm
163,56,35,Orange,2cm
163,56,35,Orange,2cm
163,56,34,Orange,2cm
163,56,34,Orange,2cm
162,57,35,Orange,2cm
163,56,34,Orange,2cm
162,57,34,Orange,2cm
162,57,34,Orange,2cm
162,57,35,Orange,2cm
162,57,35,Orange,2cm
162,57,35,Orange,2cm
162,56,35,Orange,2cm
161,57,35,Orange,2cm
162,57,35,Orange,2cm
160,57,36,Orange,2cm
161,57,35,Orange,2cm
162,56,35,Orange,2cm
162,57,35,Orange,2cm
162,56,35,Orange,2cm
162,56,35,Orange,2cm
163,56,35,Orange,2cm
162,56,35,Orange,2cm
161,57,35,Orange,2cm
161,57,36,Orange,2cm
162,57,35,Orange,2cm
160,58,36,Orange,2cm
160,58,36,Orange,2cm
161,57,36,Orange,2cm
161,57,36,Orange,2cm
161,57,35,Orange,2cm
161,57,36,Orange,2cm
161,57,36,Orange,2cm
128,64,62,Purple,0.5cm
128,63,62,Purple,0.5cm
128,64,61,Purple,0.5cm
129,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
129,63,62,Purple,0.5cm
129,63,61,Purple,0.5cm
130,63,60,Purple,0.5cm
129,63,61,Purple,0.5cm
131,62,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,62,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
129,63,62,Purple,0.5cm
129,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
131,62,60,Purple,1cm
131,62,60,Purple,1cm
131,62,60,Purple,1cm
131,62,60,Purple,1cm
131,62,60,Purple,1cm
130,63,61,Purple,1cm
130,63,61,Purple,1cm
130,63,61,Purple,1cm
131,63,60,Purple,1cm
131,63,60,Purple,1cm
131,62,60,Purple,1cm
131,62,60,Purple,1cm
131,62,60,Purple,1cm
131,62,60,Purple,1cm
131,62,60,Purple,1cm
131,62,60,Purple,1cm
132,62,60,Purple,1cm
131,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
130,63,61,Purple,1cm
132,62,60,Purple,1cm
133,61,59,Purple,1cm
132,62,60,Purple,1cm
131,62,60,Purple,1cm
131,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
131,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
132,61,60,Purple,1cm
132,62,60,Purple,1cm
132,62,60,Purple,1cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
133,61,59,Purple,2cm
133,61,59,Purple,2cm
133,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,58,Purple,2cm
134,61,58,Purple,2cm
135,61,58,Purple,2cm
135,61,58,Purple,2cm
134,61,58,Purple,2cm
135,61,58,Purple,2cm
135,60,58,Purple,2cm
135,61,58,Purple,2cm
134,61,58,Purple,2cm
134,61,58,Purple,2cm
134,61,58,Purple,2cm
135,60,58,Purple,2cm
134,61,59,Purple,2cm
136,60,57,Purple,2cm
136,60,58,Purple,2cm
135,60,58,Purple,2cm
135,60,58,Purple,2cm
135,60,58,Purple,2cm
136,60,57,Purple,2cm
136,60,57,Purple,2cm
136,60,58,Purple,2cm
137,60,57,Purple,2cm
138,60,56,Purple,2cm
137,60,57,Purple,2cm
137,59,57,Purple,2cm
137,60,57,Purple,2cm
137,60,57,Purple,2cm
138,59,57,Purple,2cm
138,59,56,Purple,2cm
138,59,56,Purple,2cm
138,59,56,Purple,2cm
170,48,36,Red,0.5cm
171,47,35,Red,0.5cm
169,48,36,Red,0.5cm
170,48,35,Red,0.5cm
171,48,35,Red,0.5cm
170,48,35,Red,0.5cm
171,48,35,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,47,36,Red,0.5cm
170,48,36,Red,0.5cm
177,44,33,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,35,Red,0.5cm
170,48,35,Red,0.5cm
170,48,35,Red,0.5cm
170,48,35,Red,0.5cm
171,48,35,Red,0.5cm
170,48,35,Red,0.5cm
171,48,35,Red,0.5cm
170,48,36,Red,0.5cm
170,48,35,Red,0.5cm
170,49,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
170,49,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
168,48,37,Red,0.5cm
170,49,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,34,Red,0.5cm
171,48,35,Red,0.5cm
171,48,34,Red,0.5cm
171,48,34,Red,0.5cm
171,48,35,Red,0.5cm
170,48,35,Red,0.5cm
170,48,35,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
170,48,36,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
171,48,35,Red,1cm
171,48,35,Red,1cm
171,48,35,Red,1cm
171,48,35,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
169,48,37,Red,1cm
170,48,36,Red,1cm
169,48,36,Red,1cm
170,48,36,Red,1cm
170,48,36,Red,1cm
170,48,36,Red,1cm
170,48,36,Red,1cm
170,48,35,Red,1cm
171,48,35,Red,1cm
171,48,35,Red,1cm
170,48,35,Red,1cm
170,48,36,Red,1cm
170,48,36,Red,1cm
170,48,36,Red,1cm
170,48,36,Red,1cm
170,48,35,Red,1cm
170,48,36,Red,1cm
169,48,36,Red,1cm
170,48,36,Red,1cm
169,48,36,Red,1cm
170,48,36,Red,1cm
170,48,35,Red,1cm
170,48,35,Red,1cm
171,48,35,Red,1cm
170,48,35,Red,1cm
171,48,35,Red,1cm
171,48,35,Red,1cm
170,48,36,Red,1cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,35,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,47,36,Red,2cm
171,47,35,Red,2cm
171,47,36,Red,2cm
